group,home,away,status,result,olo_pick,olo_ph,olo_pd,olo_pa,home_martj,away_martj,my_ph,my_pd,my_pa
Group A,Mexico,South Africa,FT,2-0,unavailable,,,,Mexico,South Africa,0.553671064414181,0.24515589300452698,0.201173042581292
Group A,South Korea,Czechia,FT,2-1,2-1,0.49,0.26,0.25,South Korea,Czech Republic,0.3952373781300258,0.24592369007448273,0.3588389317954915
Group A,South Africa,Czechia,Jun 18 16:00 UTC,,,0.35,0.27,0.38,South Africa,Czech Republic,0.3066688533742941,0.2491650212323689,0.444166125393337
Group A,Mexico,South Korea,Jun 19 01:00 UTC,,,0.41,0.28,0.31,Mexico,South Korea,0.440022447845302,0.2454209935343221,0.314556558620376
Group A,Mexico,Czechia,Jun 25 01:00 UTC,,,0.56,0.24,0.2,Mexico,Czech Republic,0.4971664095689604,0.2240032636508616,0.2788303267801781
Group A,South Africa,South Korea,Jun 25 01:00 UTC,,,0.22,0.26,0.52,South Africa,South Korea,0.2679652659006519,0.25548146111966435,0.47655327297968375
Group B,Canada,Bosnia and Herzegovina,FT,1-1,2-1,0.68,0.21,0.11,Canada,Bosnia and Herzegovina,0.5059484733159341,0.2665653074626207,0.22748621922144513
Group B,Qatar,Switzerland,FT,1-1,1-2,0.17,0.2,0.63,Qatar,Switzerland,0.20732290532666448,0.21429180031240228,0.5783852943609333
Group B,Bosnia and Herzegovina,Switzerland,Jun 18 19:00 UTC,,,0.11,0.18,0.71,Bosnia and Herzegovina,Switzerland,0.19586278818034902,0.2097301989765656,0.5944070128430854
Group B,Canada,Qatar,Jun 18 22:00 UTC,,,0.6,0.23,0.17,Canada,Qatar,0.49778330881436933,0.2682659416933396,0.233950749492291
Group B,Bosnia and Herzegovina,Qatar,Jun 24 19:00 UTC,,,0.31,0.25,0.44,Bosnia and Herzegovina,Qatar,0.32233179514976273,0.2763029558793653,0.401365248970872
Group B,Canada,Switzerland,Jun 24 19:00 UTC,,,0.33,0.28,0.39,Canada,Switzerland,0.33646562812218295,0.27688388556020743,0.3866504863176096
Group C,Brazil,Morocco,FT,1-1,1-1,0.4,0.27,0.33,Brazil,Morocco,0.3066285561439328,0.2517394160213663,0.44163202783470096
Group C,Haiti,Scotland,FT,0-1,1-2,0.34,0.25,0.4,Haiti,Scotland,0.30985898403190865,0.23589860948539734,0.45424240648269404
Group C,Morocco,Scotland,Jun 19 22:00 UTC,,,0.62,0.25,0.13,Morocco,Scotland,0.5398850671642329,0.23466698318554086,0.2254479496502262
Group C,Brazil,Haiti,Jun 20 00:30 UTC,,,0.72,0.16,0.12,Brazil,Haiti,0.6362053150127938,0.18618137957618847,0.17761330541101777
Group C,Brazil,Scotland,Jun 24 22:00 UTC,,,0.63,0.2,0.17,Brazil,Scotland,0.535035907346188,0.21536907068407504,0.249595021969737
Group C,Morocco,Haiti,Jun 24 22:00 UTC,,,0.71,0.2,0.09,Morocco,Haiti,0.6474529188152283,0.19817927492163437,0.1543678062631373
Group D,United States,Paraguay,FT,4-1,1-1,0.48,0.27,0.25,United States,Paraguay,0.4917570152721569,0.22423306175286756,0.28400992297497546
Group D,Australia,Turkey,FT,2-0,2-1,0.47,0.26,0.27,Australia,Turkey,0.42668701937888154,0.2407419688754457,0.33257101174567283
Group D,United States,Australia,Jun 19 19:00 UTC,,,0.29,0.26,0.45,United States,Australia,0.39300526593745627,0.25532497125590264,0.3516697628066412
Group D,Paraguay,Turkey,Jun 20 03:00 UTC,,,0.36,0.29,0.35,Paraguay,Turkey,0.34261547044592433,0.24557977312754212,0.4118047564265335
Group D,Paraguay,Australia,Jun 26 02:00 UTC,,,0.23,0.3,0.47,Paraguay,Australia,0.29521539879857084,0.26173144459504444,0.4430531566063848
Group D,United States,Turkey,Jun 26 02:00 UTC,,,0.49,0.22,0.29,United States,Turkey,0.47177524281133576,0.2078343298354332,0.32039042735323103
Group E,Germany,Curacao,FT,7-1,2-1,0.68,0.18,0.13,Germany,Curaçao,0.9130414122710122,0.050779473609725345,0.03617911411926249
Group E,Ivory Coast,Ecuador,FT,1-0,1-1,0.34,0.32,0.34,Ivory Coast,Ecuador,0.4323239579418632,0.2929982051415668,0.27467783691657
Group E,Germany,Ivory Coast,Jun 20 20:00 UTC,,,0.46,0.26,0.28,Germany,Ivory Coast,0.43420468920031996,0.22557607847923547,0.3402192323204446
Group E,Curacao,Ecuador,Jun 21 00:00 UTC,,,0.09,0.21,0.7,Curaçao,Ecuador,0.11201229867625849,0.14949039048439713,0.7384973108393444
Group E,Curacao,Ivory Coast,Jun 25 20:00 UTC,,,0.12,0.2,0.68,Curaçao,Ivory Coast,0.06614519204787192,0.09584909285555493,0.8380057150965732
Group E,Germany,Ecuador,Jun 25 20:00 UTC,,,0.36,0.31,0.34,Germany,Ecuador,0.4956256522069583,0.23684052420352286,0.26753382358951877
Group F,Netherlands,Japan,FT,2-2,1-2,0.35,0.27,0.38,Netherlands,Japan,0.33998951745658584,0.2388814108358182,0.42112907170759595
Group F,Sweden,Tunisia,FT,5-1,1-1,0.33,0.28,0.38,Sweden,Tunisia,0.5603916770802478,0.20265704267254733,0.2369512802472049
Group F,Netherlands,Sweden,Jun 20 17:00 UTC,,,0.66,0.17,0.17,Netherlands,Sweden,0.5037783530142367,0.20266964845861543,0.2935519985271479
Group F,Japan,Tunisia,Jun 21 04:00 UTC,,,0.71,0.19,0.1,Japan,Tunisia,0.6990812293806614,0.17361295856313413,0.12730581205620456
Group F,Japan,Sweden,Jun 25 23:00 UTC,,,0.77,0.14,0.1,Japan,Sweden,0.5384479984466765,0.20348001402855836,0.2580719875247651
Group F,Netherlands,Tunisia,Jun 25 23:00 UTC,,,0.62,0.22,0.16,Netherlands,Tunisia,0.6776838712073933,0.1768193787383522,0.1454967500542546
Group G,Belgium,Egypt,FT,1-1,1-1,0.47,0.28,0.25,Belgium,Egypt,0.5237487356876498,0.2366038654995979,0.23964739881275232
Group G,Iran,New Zealand,FT,2-2,2-1,0.52,0.25,0.23,Iran,New Zealand,0.6639275989760752,0.19132383773382347,0.1447485632901012
Group G,Belgium,Iran,Jun 21 19:00 UTC,,,0.38,0.26,0.36,Belgium,Iran,0.43159510747812085,0.23583305434866927,0.33257183817320995
Group G,Egypt,New Zealand,Jun 22 01:00 UTC,,,0.4,0.28,0.31,Egypt,New Zealand,0.5267597270220539,0.2561169977329471,0.21712327524499894
Group G,Belgium,New Zealand,Jun 27 03:00 UTC,,,0.51,0.24,0.25,Belgium,New Zealand,0.7589859063555123,0.14127301698306644,0.09974107666142129
Group G,Egypt,Iran,Jun 27 03:00 UTC,,,0.29,0.29,0.42,Egypt,Iran,0.29321082620859384,0.27470933678374304,0.43207983700766306
Group H,Spain,Cape Verde,FT,0-0,2-1,0.68,0.2,0.12,Spain,Cape Verde,0.6935701260051667,0.16768578656905594,0.13874408742577748
Group H,Saudi Arabia,Uruguay,FT,1-1,1-1,0.22,0.31,0.47,Saudi Arabia,Uruguay,0.2493822431733489,0.30598633580745216,0.444631421019199
Group H,Spain,Saudi Arabia,Jun 21 16:00 UTC,,,0.73,0.18,0.09,Spain,Saudi Arabia,0.6534698819882466,0.20227933622771976,0.14425078178403367
Group H,Cape Verde,Uruguay,Jun 21 22:00 UTC,,,0.15,0.28,0.57,Cape Verde,Uruguay,0.2614813998773885,0.2665711079238353,0.4719474921987762
Group H,Cape Verde,Saudi Arabia,Jun 27 00:00 UTC,,,0.3,0.32,0.38,Cape Verde,Saudi Arabia,0.3432200743419979,0.3227526006542735,0.33402732500372867
Group H,Spain,Uruguay,Jun 27 00:00 UTC,,,0.5,0.28,0.22,Spain,Uruguay,0.5427416740521287,0.23537807431758082,0.22188025163029051
Group I,France,Senegal,FT,3-1,1-1,0.45,0.27,0.28,France,Senegal,0.5143635578352406,0.22182325855552565,0.2638131836092337
Group I,Iraq,Norway,FT,1-4,1-2,0.21,0.25,0.54,Iraq,Norway,0.2181163102070594,0.23790829902210764,0.543975390770833
Group I,France,Iraq,Jun 22 21:00 UTC,,,0.65,0.22,0.13,France,Iraq,0.6449862232313316,0.20130569986142582,0.1537080769072426
Group I,Senegal,Norway,Jun 23 00:00 UTC,,,0.34,0.24,0.42,Senegal,Norway,0.3428733543469417,0.24368219682974773,0.4134444488233106
Group I,France,Norway,Jun 26 19:00 UTC,,,0.47,0.23,0.29,France,Norway,0.4791742994850922,0.2178890208288122,0.3029366796860956
Group I,Senegal,Iraq,Jun 26 19:00 UTC,,,0.53,0.26,0.21,Senegal,Iraq,0.4873071262578031,0.2652111077803383,0.24748176596185856
Group J,Argentina,Algeria,FT,3-0,2-1,0.6,0.24,0.16,Argentina,Algeria,0.4661728895642189,0.253324494889475,0.2805026155463061
Group J,Austria,Jordan,FT,3-1,2-1,0.55,0.23,0.22,Austria,Jordan,0.6665049148888043,0.174689990441749,0.15880509466944684
Group J,Argentina,Austria,Jun 22 17:00 UTC,,,0.61,0.24,0.14,Argentina,Austria,0.5380067607449,0.23134418599940965,0.2306490532556905
Group J,Algeria,Jordan,Jun 23 03:00 UTC,,,0.58,0.21,0.2,Algeria,Jordan,0.724075321120849,0.15517972795868856,0.12074495092046247
Group J,Algeria,Austria,Jun 28 02:00 UTC,,,0.36,0.27,0.36,Algeria,Austria,0.4332805645047254,0.24977215948196815,0.3169472760133065
Group J,Argentina,Jordan,Jun 28 02:00 UTC,,,0.82,0.12,0.06,Argentina,Jordan,0.802590732399939,0.12148430802411954,0.07592495957594149
Group K,Portugal,Congo DR,FT,1-1,1-1,0.48,0.3,0.22,Portugal,DR Congo,0.550774107017766,0.24509171210554073,0.2041341808766932
Group K,Uzbekistan,Colombia,FT,1-3,1-1,0.2,0.26,0.54,Uzbekistan,Colombia,0.20609947946103654,0.23417316828911205,0.5597273522498515
Group K,Portugal,Uzbekistan,Jun 23 17:00 UTC,,,0.52,0.26,0.22,Portugal,Uzbekistan,0.6130614601587612,0.2106459569384283,0.17629258290281058
Group K,Congo DR,Colombia,Jun 24 02:00 UTC,,,0.19,0.29,0.52,DR Congo,Colombia,0.23274001024272697,0.2668867391662608,0.5003732505910123
Group K,Congo DR,Uzbekistan,Jun 27 23:30 UTC,,,0.32,0.37,0.31,DR Congo,Uzbekistan,0.3918740896514763,0.3055504407453206,0.3025754696032031
Group K,Portugal,Colombia,Jun 27 23:30 UTC,,,0.32,0.24,0.44,Portugal,Colombia,0.41735089150130605,0.2460154738890989,0.336633634609595
Group L,England,Croatia,FT,4-2,1-1,0.48,0.28,0.24,England,Croatia,0.5305642119504518,0.23494219470186228,0.234493593347686
Group L,Ghana,Panama,FT,1-0,1-2,0.3,0.25,0.45,Ghana,Panama,0.323938984951131,0.2371073063301714,0.4389537087186976
Group L,England,Ghana,Jun 23 20:00 UTC,,,0.71,0.19,0.1,England,Ghana,0.7288454628094796,0.16804124813379523,0.1031132890567252
Group L,Croatia,Panama,Jun 23 23:00 UTC,,,0.54,0.23,0.23,Croatia,Panama,0.5493437300737393,0.20606727192270477,0.24458899800355596
Group L,Croatia,Ghana,Jun 27 21:00 UTC,,,0.58,0.23,0.19,Croatia,Ghana,0.5961976487735964,0.21242892001353927,0.19137343121286443
Group L,England,Panama,Jun 27 21:00 UTC,,,0.68,0.2,0.13,England,Panama,0.7132005006886643,0.1613198597161877,0.1254796395951481
